Job titel,Company name,Address,Job type,Workplace,Job skills,Links
Data Analyst,EGMED -,"Cairo, Egypt",Full Time,On-site,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Analysis · Computer Science · Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/jyy8v22nmjva-data-analyst-egmed-cairo-egypt
Customer Data Operations Specialist,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Operations/Management · Microsoft Excel · Customer Service · Customer Care · Data Entry · Data Analysis · Reporting · Documentation · Data Handling,https://wuzzuf.net/jobs/p/corczmjni4hq-customer-data-operations-specialist-cairo-egypt
Analysis & Reporting Specialist,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt",Full Time,On-site,Experienced · 4 - 6 Yrs of Exp · Administration · Business Development · Analyst/Research · Analysis · Reporting · Data Analysis,https://wuzzuf.net/jobs/p/c6lwryeeh0jj-analysis-reporting-specialist-the-micro-small-medium-enterprise-development-agency-giza-egypt
Data Analyst,Orchidia Pharmaceutical Industries -,"Rehab City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Operations/Management · Analyst/Research · Pharmaceutical · Analysis · Data Analysis · Data Management · Microsoft Excel,https://wuzzuf.net/jobs/p/zadedm6ciygi-data-analyst-orchidia-pharmaceutical-industries-cairo-egypt
Data Analyst,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt",Freelance / Project,Hybrid,Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Analyst/Research · Engineering - Mechanical/Electrical · Analysis · Data Analysis · Data Management · Engineering · Microsoft Office · Python · SQL,https://wuzzuf.net/jobs/p/ocidan8rceq3-data-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
Data Analyst Engineer,Basco Engineering &Trading -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · Statistical Analysis · Data Visualization · Data Analysis · Dashboard Development · Problem Solving,https://wuzzuf.net/jobs/p/arqttzi4nhke-data-analyst-engineer-basco-engineering-trading-cairo-egypt
Commercial Specialist ( Junior Data Analyst ),realme -,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level · 1+ Yrs of Exp · females_only · Business Development · Analyst/Research · Sales/Retail · Statistics · Sales · Analysis · Business Analysis · Market Research · Research · Finance,https://wuzzuf.net/jobs/p/yudsuh18csad-commercial-specialist-junior-data-analyst-realme-cairo-egypt
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Database SQL Server · MySQL · Data Analytics · Big Data Analytics · Microsoft Excel · Power BI · Microsoft Power BI,https://wuzzuf.net/jobs/p/4m4sgsl4q0f7-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Machine Learning · Python Programming · Teaching & Instruction · Curriculum Development · Statistical Analysis · Communication,https://wuzzuf.net/jobs/p/mvgfy3hj4s4u-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
FP&A Section Head (Financial Planning & Analysis),Confidential -,"Obour City, Cairo, Egypt",Full Time,On-site,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Analysis · Finance · Financial Analysis · Financial Management · A/B Testing · Accounting · Budgeting · Forecasting · Financial Modeling,https://wuzzuf.net/jobs/p/htdfyw5f9y4h-fpa-section-head-financial-planning-analysis-cairo-egypt
Data Analyst,Majestic Pharmaceuticals -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Administration · Data Analysis · Analysis · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/iwa8kvlssdjy-data-analyst-majestic-pharmaceuticals-cairo-egypt
Data analysis Instructor,Yat Learning Centers -,"Hadayek Alkobba, Cairo, Egypt",Freelance / Project,Remote,Experienced · 3 - 15 Yrs of Exp · Education/Teaching · Training/Instructor · Data Analysis · Databases · Microsoft Excel · SQL · Python · Google Analytics · Power BI · Tableau,https://wuzzuf.net/jobs/p/gwifjzfunbq1-data-analysis-instructor-yat-learning-centers-cairo-egypt
Branch Accountant,Confidential -,"Dokki, Giza, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · Financial Analysis · Financial Management · Banking · Client Support · Auditing · Bookkeeping,https://wuzzuf.net/jobs/p/bjohrgnh8nik-branch-accountant-giza-egypt
Global Finance Manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time,Hybrid,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · Manufacturing/Production · Finance · Financial Analysis · Finance Analysis · Finance Management · Financial Accounting · Financial Reporting · Financial Data Analysis,https://wuzzuf.net/jobs/p/fdkqqx5ytes2-global-finance-manager-cairo-egypt
Accountant,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 5 Yrs of Exp · Accounting/Finance · Accounting · Microsoft Excel · Banking · Microsoft Word · Financial Reporting · General Ledger · Reconciliation · Accounts Payable · Accounts Receivable,https://wuzzuf.net/jobs/p/rvoflnwstzc5-accountant-cairo-egypt
Data Entry Specialist,Damu -,"Haram, Giza, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Administration · Customer Service/Support · Analyst/Research · Customer Service · Data Entry · Microsoft Office · Administration · Financial Data Analysis · Databases,https://wuzzuf.net/jobs/p/uhdvavyhig5v-data-entry-specialist-damu-giza-egypt
Materials Planning Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Planning · Project Management · Manufacturing Industry · Production Engineering · Supply Chain Management · Inventory Management · Logistics · Material Requirements Planning (MRP),https://wuzzuf.net/jobs/p/7lzabhol5lfq-materials-planning-engineer-cairo-egypt
Talent Acquisition Section Head,Egyptian Company for Cosmetics -,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · females_preferred · Human Resources · Talent Acquisition · Recruitment Strategy · Employer Branding · Data Analysis · Stakeholder Management · Candidate Experience · ATS Management · HR Analytics · Leadership,https://wuzzuf.net/jobs/p/h6xbvx0dp534-talent-acquisition-section-head-egyptian-company-for-cosmetics-cairo-egypt
Junior Demand Planner,Dakahlia Group -,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Logistics/Supply Chain · Demand Planning · Engineering · Manufacturing · Supply Chain · Supply · Planning · Supply Chain Management · Material Requirements Planning (MRP) · Inventory Management,https://wuzzuf.net/jobs/p/iwmsgw1ygtpd-junior-demand-planner-dakahlia-group-cairo-egypt
Production Engineer,AlShrouk Paper -,"Alsadat City, Monufya, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Other · Engineering · Manufacturing · Production · Process Optimization · Quality Control · Troubleshooting · Lean Manufacturing · Problem Solving,https://wuzzuf.net/jobs/p/6sl0vqouwk64-production-engineer-alshrouk-paper-monufya-egypt
Logistics Coordinator,Sinoma-cdi -,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · males_only · Administration · Logistics/Supply Chain · Coordination · Logistics · Communication · Problem Solving · Multitasking · Negotiation · Logistics Management · Supply Chain Optimization,https://wuzzuf.net/jobs/p/ebeadftekl1y-logistics-coordinator-sinoma-cdi-cairo-egypt
Procurement Specialist,Cairo Communication Systems (CCS) -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Entry Level · 3 - 8 Yrs of Exp · Administration · Logistics/Supply Chain · Purchasing/Procurement · Logistics · Procurement · Purchasing · Supply Chain Management · Vendor Management · Negotiation · Contract Management,https://wuzzuf.net/jobs/p/0dga7tkgnnif-procurement-specialist-cairo-communication-systems-ccs-cairo-egypt
Total Rewards Senior Specialist,GEMMA -,"Haram, Giza, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Human Resources · Human Resources (HR) · Compensation & Benefits · Total Remuneration · Salary Surveys · Salary Structures · Job Evaluation · Rewards Planning · HR Analytics · Market Research,https://wuzzuf.net/jobs/p/ghwye2axvtfw-total-rewards-senior-specialist-gemma-giza-egypt
Digital Marketing Manager,Egyptian Company for Cosmetics -,"Nasr City, Cairo, Egypt",Full Time,On-site,"Manager · 5 - 10 Yrs of Exp · females_only · Marketing/PR/Advertising · Digital Marketing · Digital Marketing Strategy · SEO/SEM · Social Media Management · Content Creation · Analytics and Reporting · Project Management · Advertising Platforms (Google Ads, Facebook Ads) · Marketing Automation",https://wuzzuf.net/jobs/p/ipiyv4wbvevm-digital-marketing-manager-egyptian-company-for-cosmetics-cairo-egypt
Accountant,Diamond Medical Services -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Administration · Banking · Accounting · Finance · Financial Management · Financial Analysis · Bookkeeping · Data Entry · Microsoft Excel,https://wuzzuf.net/jobs/p/zvcmhblyi2ni-accountant-diamond-medical-services-cairo-egypt
Data Center Administrator,Blue Line Engineering -,"Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Data Entry · power bi · excel · Administration · Analysis · Computer Science · Customer Service,https://wuzzuf.net/jobs/p/7tagxettmxon-data-center-administrator-blue-line-engineering-cairo-egypt
Senior Payroll Specialist,Arabtec -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 4 - 7 Yrs of Exp · Human Resources · Payroll · Human Resources (HR) · Payroll Processing · Tax Compliance · HRIS Management · Time and Attendance · Benefits Administration · Problem-Solving · Attention to Detail,https://wuzzuf.net/jobs/p/uvtibz2ibdzp-senior-payroll-specialist-arabtec-cairo-egypt
Farm Director,El Teriak Industrial Group -,"Cairo, Egypt",Full Time,On-site,Senior Management · 8 - 20 Yrs of Exp · Operations/Management · Project/Program Management · Engineering - Other · Agriculture · Production · Agricultural Operations · Farm Management · Crop Production · Fertilization Programs · Irrigation Management,https://wuzzuf.net/jobs/p/j7mfeke2dnmf-farm-director-el-teriak-industrial-group-cairo-egypt
Customer Service Coordinator,Foreway Cotture Cairo -,"New Cairo, Cairo, Egypt",Part Time,Remote,Entry Level · 1 - 5 Yrs of Exp · Administration · Customer Service/Support · Quality · Customer Service · Sales · Customer Support · Quality Auditing · Quality Control · Business English · Ecommerce,https://wuzzuf.net/jobs/p/m3icw1lredbs-customer-service-coordinator-foreway-cotture-cairo-cairo-egypt
Digital Marketing Specialist,Egyptian Packaging and Plastic Systems Corp -,"Manial, Cairo, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Marketing · E-Marketing · Social Media · SEO · SME · Data Analysis · Contact Center,https://wuzzuf.net/jobs/p/bbjsvmqyiqic-digital-marketing-specialist-egyptian-packaging-and-plastic-systems-corp-cairo-egypt
Key Account Manager - Bisco Misr,Arma-HSA -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 10 Yrs of Exp · Business Development · Sales/Retail · Key Account Management · Sales Strategy · Customer Relationship Management · Problem-Solving · Data Analysis · Market Analysis · Negotiation · Team Collaboration,https://wuzzuf.net/jobs/p/wdi3lt3jx31g-key-account-manager-bisco-misr-arma-hsa-cairo-egypt
Purchasing Specialist,Blue Bell Egypt  -,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Purchasing/Procurement · Purchasing · Supply Chain · Vendor Management · Negotiation · Procurement · Contract Management · Inventory Management · Logistics · SAP,https://wuzzuf.net/jobs/p/xcb1ypwvfqun-purchasing-specialist-blue-bell-egypt-alexandria-egypt
PMO Data Analyst (Resource & Scenario Planning),RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt",Full Time,Hybrid,Experienced · 3+ Yrs of Exp · Operations/Management · Project/Program Management · Analyst/Research · PMO · Planning · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Excel,https://wuzzuf.net/jobs/p/z0alecd8tm4h-pmo-data-analyst-resource-scenario-planning-riseup-endemag-for-administrative-skills-development-cairo-egypt
Head of Growth,DIME -,"Cairo, Egypt",Full Time,Hybrid,Senior Management · 8 - 20 Yrs of Exp · Business Development · CRM · Marketing · Business Development · Sales · Strategic Planning · Team Leadership · Market Research · Data Analysis · Negotiation,https://wuzzuf.net/jobs/p/qflforzz99cy-head-of-growth-dime-cairo-egypt
Senior Project Control Engineer,Concrete Plus -,"North Coast, Alexandria, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Project Control · Planning · Cost Control · Risk Management · Scheduling · Primavera P6 · Microsoft Project · Budgeting,https://wuzzuf.net/jobs/p/7wpzgqutgq0m-senior-project-control-engineer-concrete-plus-alexandria-egypt
Junior Auditor / Acc,Ertekaa -,"Zamalek, Cairo, Egypt",Full Time,On-site,Entry Level · 2 - 4 Yrs of Exp · Accounting/Finance · Financial Analysis · Financial Auditing · Internal Control · Business Analytics · Data Interpretation · Accounting Software · Risk Assessment · Report Writing · Attention to Detail,https://wuzzuf.net/jobs/p/u6rcarjsetvh-junior-auditor-acc-ertekaa-cairo-egypt
General Accountant,SCALES Homes    -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Management · Financial Reporting · General Ledger · Budgeting · Microsoft Excel · ERP Systems,https://wuzzuf.net/jobs/p/mizar9w18hfg-general-accountant-scales-homes-cairo-egypt
Distributer Controller,Cairo Three A  Poultry  -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Administration · Logistics/Supply Chain · Distributor Management · Distribution Strategy · Sales Operations · Logistics Management · Supply Chain Optimization · Performance Analysis · Negotiation · Relationship Management,https://wuzzuf.net/jobs/p/tevw0ehzewsi-distributer-controller-cairo-three-a-poultry-cairo-egypt
Accounts Receivable Officer,sofipack  -,"Badr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · Cost Accounting · Financial Analysis · Finance · Budgeting · Variance Analysis · SAP · ERP Systems · Data Analysis,https://wuzzuf.net/jobs/p/liluajhopmaa-accounts-receivable-officer-sofipack-cairo-egypt
Inventory Accountant,sofipack  -,"Badr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Inventory Management · Reconciliation · Auditing · Cost Accounting · ERP Systems · Microsoft Excel,https://wuzzuf.net/jobs/p/oago3kik4wni-inventory-accountant-sofipack-cairo-egypt
Financial Planning & Analysis (FP&A) Analyst,NERIC -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · Finance · Financial Analysis · Financial Planning · Planning,https://wuzzuf.net/jobs/p/j2cp22awa52x-financial-planning-analysis-fpa-analyst-neric-cairo-egypt
Material Planner,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Manufacturing/Production · Engineering - Mechanical/Electrical · Logistics · Material Planning · Supply Chain Management · Production Planning · Inventory Management · Forecasting · SAP,https://wuzzuf.net/jobs/p/yn3ctgywtdr6-material-planner-cairo-egypt
Technical Sales Engineer,INTROL -,"Riyadh, Saudi Arabia",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Sales · Technical Sales · Engineering · PLC Scada · Communication Skills · Electrical Engineering · Instrumentation · Customer Relationship Management,https://wuzzuf.net/saudi/jobs/p/ms9kjyvu8yiv-technical-sales-engineer-introl-riyadh-saudi-arabia
Odoo Implementation Specialist,Al Mokhlif Oud -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · IT/Software Development · Other · Odoo · Accounting · Business Administration · Computer Science · CRM · ERP Systems · Financial Management,https://wuzzuf.net/jobs/p/mxyjvphjol83-odoo-implementation-specialist-al-mokhlif-oud-cairo-egypt
Surveying engineer,Eamar Al Delta  -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Architecture · Engineering · Surveying · Civil Engineering · Construction Management · AutoCAD · Data Analysis · Blueprint Reading · Site Planning,https://wuzzuf.net/jobs/p/ci9qa8tte9m0-surveying-engineer-eamar-al-delta-cairo-egypt
SCM Specialist,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Entry Level · 2 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · Computer Science · Engineering · Information Technology (IT) · SCM · Logistics · Supply Chain · Planning · Microsoft Office · Process Optimization,https://wuzzuf.net/jobs/p/hjttpkx7js33-scm-specialist-cairo-egypt
Technical SEO Specialist,Harper Media Group -,"Arlington, United States",Full Time,Remote,Experienced · 3 - 7 Yrs of Exp · Business Development · IT/Software Development · Marketing/PR/Advertising · Structured data · Technical SEO · SEO · Optimization · AI Optimization · Schema · On-Page seo,https://wuzzuf.net/jobs/p/cgylsyv5jf2u-technical-seo-specialist-harper-media-group-arlington-united-states
cost controller F&B Sector,Smileys Trading  -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Senior Management · 8 - 20 Yrs of Exp · Accounting/Finance · Hospitality/Hotels/Food Services · Cost Control · Accounting · Finance · Budget Management · Inventory Management · Financial Reporting · P&L Management · Hospitality Operations,https://wuzzuf.net/jobs/p/3awparrrx04z-cost-controller-fb-sector-smileys-trading-cairo-egypt
Senior Financial Planning & Analysis Specialist,Cairo Three A  Poultry  -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · FMVA · Budgeting and Forecasting · Excel Proficiency · Financial Analysis · Financial Planning,https://wuzzuf.net/jobs/p/anfvsehurr0g-senior-financial-planning-analysis-specialist-cairo-three-a-poultry-cairo-egypt
Automotive Logistics Manager,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,Manager · 5 - 7 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Supply Chain Optimization · Logistics Management · Vendor Management · Communication · Team Leadership · Inventory Control · Negotiation · Data Analysis,https://wuzzuf.net/jobs/p/1tfpvappcdog-automotive-logistics-manager-giza-egypt
Warehouse Manager,Confidential -,"Abu Qurqas, Minya, Egypt",Full Time,On-site,Manager · 8 - 15 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Supply Chain · Warehousing · Inventory Management · Supply Chain Management · Logistics · Operations Management · Team Leadership,https://wuzzuf.net/jobs/p/a90ccgrug6ys-warehouse-manager-minya-egypt
Digital Transformation & Systems Specialist,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · AppSheet · Power BI · Google Sheets · Microsoft Excel · AI · Data Analysis · Process Automation · System Integration,https://wuzzuf.net/jobs/p/ggrcw2zacyzh-digital-transformation-systems-specialist-cairo-egypt
Marketing Advisor,Mico World Limited -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Communication · Marketing · CRM · Customer Support · Digital Marketing · Lead Generation · Management,https://wuzzuf.net/jobs/p/vw2sdag1w6jx-marketing-advisor-mico-world-limited-cairo-egypt
Purchase Specialist,Investment Company For Dairy Products  -,"Abu Alnumros, Giza, Egypt",Full Time,On-site,Experienced · 4 - 5 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Purchasing · Procurement · Logistics · Supply Chain Management · Vendor Management · Negotiation · Contract Management · Inventory Control,https://wuzzuf.net/jobs/p/lq5l5c4rnrxy-purchase-specialist-investment-company-for-dairy-products-giza-egypt
Call Center Manager,Lavita Developments  -,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Customer Support · Call Center · Sales · Call Center Management · Customer Service · Team Leadership · Performance Management,https://wuzzuf.net/jobs/p/ubvqohkhgnm5-call-center-manager-lavita-developments-cairo-egypt
Business Performance & Analytics Specialist,Tawfeer -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Business Analytics · Data Visualization · Statistical Analysis · Performance Reporting · Data Management · Dashboard Development · Analysis · Analytics · Commerce,https://wuzzuf.net/jobs/p/qevkmlsjnqvs-business-performance-analytics-specialist-tawfeer-cairo-egypt
Operations Manager,Confidential -,"Dokki, Giza, Egypt",Full Time,On-site,Manager · 8 - 10 Yrs of Exp · males_only · Operations/Management · Management · Sales · Operations Management · Team Leadership · Strategic Planning · Process Improvement · Logistics · Budget Management · Performance Optimization,https://wuzzuf.net/jobs/p/1ihrvpxf8zu5-operations-manager-giza-egypt
CS Trainer-French Speaker,Mico World Limited -,"Maadi, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · Sales/Retail · Education/Teaching · Training/Instructor · Call Center Operations · Human Resources (HR) · Training & Development · Customer Service Excellence · French Language Fluency · Instructional Design · Performance Coaching,https://wuzzuf.net/jobs/p/xgwtinzzqn8r-cs-trainer-french-speaker-mico-world-limited-cairo-egypt
Quality Regulatory Compliance Specialist,Amoun Pharmaceutical  -,"Obour City, Cairo, Egypt",Full Time,On-site,"Entry Level · 1 - 3 Yrs of Exp · Quality · Pharmaceutical · Regulatory Compliance (EDA, NFSA, NRC) · Documentation & Data Management · Attention to Detail & Data Accuracy · Regulatory Documentation & Submission · Raw Materials Release & Sampling · CADC Submission & Follow-up · COA (Certificates of Analysis) Preparation · SAP (especially data handling / SAP QM)",https://wuzzuf.net/jobs/p/hdrta7uwo4sf-quality-regulatory-compliance-specialist-amoun-pharmaceutical-cairo-egypt
Production manager,WUZZUF -,"Cairo, Egypt",Full Time,On-site,Manager · 10 - 18 Yrs of Exp · Engineering - Mechanical/Electrical · Production Manager · Production Scheduling · Data Analysis · ERP Systems · Gas Cookers · MRP · Ovens · SAP · Supply chain,https://wuzzuf.net/jobs/p/eyia74ui5r1x-production-manager-wuzzuf-cairo-egypt
Content Creator and Social Media Manager,Scrollwave Marketing -,"Maadi, Cairo, Egypt",Full Time,Hybrid,"Experienced · 2 - 7 Yrs of Exp · Creative/Design/Art · Writing/Editorial · Marketing/PR/Advertising · content creation, graphice design, social media management, · social media strategy, organic growth, organic leads, · Content creation · Graphic design · Social media management · Social media strategy · Organic growth",https://wuzzuf.net/jobs/p/owdnjb1xozte-content-creator-and-social-media-manager-scrollwave-marketing-cairo-egypt
Digital Marketing Manager,Confidential -,"Sheraton, Cairo, Egypt",Full Time,On-site,Manager · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Social Media Marketing · E-Marketing · Content Marketing · SEO · Google Analytics · Brand Strategy · Data Analysis · Marketing Strategy,https://wuzzuf.net/jobs/p/ya2sqr7lzftr-digital-marketing-manager-cairo-egypt
Supply Chain Manager,National Glass -,"Mohandessin, Giza, Egypt",Full Time,On-site,Manager · 8 - 10 Yrs of Exp · Logistics/Supply Chain · Logistics · Procurement · Purchasing · Supply · Supply Chain Management · Inventory Management · Demand Planning · Vendor Management · Negotiation,https://wuzzuf.net/jobs/p/lcuveduejhux-supply-chain-manager-national-glass-giza-egypt
Collection Manager,Investment Company For Dairy Products  -,"Abu Alnumros, Giza, Egypt",Full Time,On-site,Manager · 8 - 10 Yrs of Exp · males_only · Accounting/Finance · Customer Service/Support · Operations/Management · Accounting · Finance · Collection · Financial Management · Sales Support · Customer Service · Sales Field,https://wuzzuf.net/jobs/p/hibe3gl4xqh3-collection-manager-investment-company-for-dairy-products-giza-egypt
Logistic Supervisor,Tawfeer -,"Abu Alnumros, Giza, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Logistics · Management · Logistics Management · Supply Chain Optimization · Operations Management · Inventory Control · Warehouse Management Systems (WMS) · Transportation Management,https://wuzzuf.net/jobs/p/evsefawgozwj-logistic-supervisor-tawfeer-giza-egypt
R&D Formulation Specialist,APEX Pharma -,"Badr City, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 3 Yrs of Exp · R&D/Science · Pharmaceutical · Formulation · Manufacturing · Pharmaceutical · Pharmaceutical Sciences · Pharmacy · Research · R&D · Pharmaceutical Formulation,https://wuzzuf.net/jobs/p/srzh8l2216ci-rd-formulation-specialist-apex-pharma-cairo-egypt
Marketing Internship,Hook Solutions -,"Cairo, Egypt",Internship,Hybrid,Entry Level · 0 - 1 Yrs of Exp · Marketing/PR/Advertising · Social Media Management · Digital Marketing · Content Creation · Reels Creation · Campaign Management · Market Research · Data Analysis · Graphic Design Basics · Copywriting,https://wuzzuf.net/internship/7ftv55naoeu0-marketing-internship-hook-solutions-cairo-egypt
Marketing Intern,Hook Solutions -,"Cairo, Egypt",Internship,Hybrid,Entry Level · 0 - 1 Yrs of Exp · Marketing/PR/Advertising · Social Media Management · Digital Marketing · Content Creation · Reels Creation · Campaign Management · Market Research · Data Analysis · Graphic Design Basics · Copywriting,https://wuzzuf.net/internship/a6hirt4f6ofa-marketing-intern-hook-solutions-cairo-egypt
Workforce Analysis Specialist (Call Center),Shiny White Dental Center  -,"Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Workforce Analysis Specialist Call Center · Call Center · Analysis · workforce · Management · Marketing · Medical · Microsoft Excel · Microsoft Office,https://wuzzuf.net/jobs/p/ofontrr5la87-workforce-analysis-specialist-call-center-shiny-white-dental-center-cairo-egypt
"Associate Manager, Financial Planning and Analysis",SU Tech - Elsewedy University -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,Manager · 8 - 10 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Financial Analysis · Finance · Financial Management · Financial Planning · CMA · CFA · Financial,https://wuzzuf.net/jobs/p/l9qg9uwbdt6v-associate-manager-financial-planning-and-analysis-su-tech-elsewedy-university-sharqia-egypt
Sales Force Effectiveness Manager,Bluebell Pharmaceuticals  -,"Maadi, Cairo, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · Analyst/Research · Sales/Retail · Pharmaceutical · Sales Force · SFE · Data Analysis · Power BI · Microsoft Office 365 · Pharmaceutical · Microsoft Excel,https://wuzzuf.net/jobs/p/n0k7qczuzniu-sales-force-effectiveness-manager-bluebell-pharmaceuticals-cairo-egypt
IT Manager,Cloverbrook Textiles Egypt  -,"6th of October, Giza, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · IT/Software Development · MES system management · Computer Science · Engineering principles · Information Technology (IT) leadership · Software Development methodologies · Project Management · Team Leadership · System Architecture · IT Infrastructure,https://wuzzuf.net/jobs/p/njd56innzcr3-it-manager-cloverbrook-textiles-egypt-giza-egypt
