Job titel,Company name,Address,Job type,Workplace,Job skills,Links
Accountant,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 5+ Yrs of Exp · Accounting/Finance · Accounting · Finance · Accounting Reports · Tax Accounting · Financial Reporting · Commerce · Financial Analysis · Financial Management · Management,https://wuzzuf.net/jobs/p/nz8gil94hhta-accountant-giza-egypt
Sr. Financial Planning Analyst,DAF Holding  -,"Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Finance · Financial Analysis · Financial Planning,https://wuzzuf.net/jobs/p/2qszkamtitul-sr-financial-planning-analyst-daf-holding-cairo-egypt
External Auditor,Confidential -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Financial analysis · Report writing · Analytical thinking · Team collaboration · External auditing · Risk assessment · IFRS,https://wuzzuf.net/jobs/p/093k5jdbmpoz-external-auditor-cairo-egypt
Senior Accountant,Confidential -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 8 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Bookkeeping · IFRS · CMA · Odoo,https://wuzzuf.net/jobs/p/bhign1r3zcqz-senior-accountant-cairo-egypt
Financial Business Analyst,Confidential -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Financial Analysis · Financial · Finance · Business Analysis,https://wuzzuf.net/jobs/p/mzoy6qfmsn86-financial-business-analyst-cairo-egypt
Quality Control Manager,K Line Europe -,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager · 8 - 10 Yrs of Exp · Manufacturing/Production · Quality · Engineering - Mechanical/Electrical · Quality Assurance · Quality Control · Lean Six Sigma · Six Sigma Green Belt · Root Cause Analysis · 5S Lean Manufacturing Methodology · ISO 9001,https://wuzzuf.net/jobs/p/8zknxmv6hs0z-quality-control-manager-k-line-europe-cairo-egypt
Accountant,Confidential -,"Maadi, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · females_preferred · Accounting/Finance · Administration · Microsoft Excel · Accounting · Finance · Financial Analysis · Financial Management · Stores Management · Reporting Analysis · Accounting Reports,https://wuzzuf.net/jobs/p/bo49rsrvludn-accountant-cairo-egypt
Software Business Analyst,Softec Technologies -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · System Analysis · Technical Analysis · Analysis · Information Technology (IT) · Computer Science · Project Management · Communication Skills,https://wuzzuf.net/jobs/p/684ea4a4fgvg-software-business-analyst-softec-technologies-cairo-egypt
Senior Finance Associate,Guillam -,"San Stefano, Alexandria, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/lamzup7nak2j-senior-finance-associate-guillam-alexandria-egypt
Senior Financial Analyst,Cultiv -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 5+ Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/lqsdiybxyiqk-senior-financial-analyst-cultiv-cairo-egypt
Principal Product Manager,Ahmed El-Sallab -,"Cairo, Egypt",Full Time,On-site,Manager · 7 - 10 Yrs of Exp · IT/Software Development · E-Commerce · Product · Product Management · Marketing · Information Technology (IT) · Agile · Analysis · Design · JIRA,https://wuzzuf.net/jobs/p/nlonk1quscai-principal-product-manager-ahmed-el-sallab-cairo-egypt
Junior Internal Audit,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 1 - 4 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Accounting · Auditing · Finance · Financial Analysis · Internal Controls · Risk Management · Compliance,https://wuzzuf.net/jobs/p/ckv52cce49qd-junior-internal-audit-ibn-sina-pharma-cairo-egypt
Sales Operations Coordinator,Sokkar for Industrial Sewing Machines -,"New Nozha, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Operations/Management · Sales/Retail · Customer Service · Sales · Sales Operations · CRM System · ERP System · Data Analysis · Power BI · Microsoft Excel,https://wuzzuf.net/jobs/p/5pdutvt6yxkl-sales-operations-coordinator-sokkar-for-industrial-sewing-machines-cairo-egypt
Investment & Business Development Manager,Confidential -,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager · 10 - 17 Yrs of Exp · Accounting/Finance · Business Development · Sales/Retail · Business Development · Development · Investment · Sales · Sales Target · MBA · Administration,https://wuzzuf.net/jobs/p/pjiczawzk3nb-investment-business-development-manager-cairo-egypt
Sales Marketing Executive,Creative Closets -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 2+ Yrs of Exp · males_only · Marketing/PR/Advertising · Sales/Retail · Sales Field · good negotiations · Data Analysis · Sales field · Communication · Negotiation · Data analysis · Market research,https://wuzzuf.net/jobs/p/4idz5kdw0raq-sales-marketing-executive-creative-closets-cairo-egypt
